"hauljoin","region","subregion","vessel","cruise","haul","year","month","station","lon","lat","bdepth","btemp","slope","aspectE","aspectN","curve","bcurrentU","bcurrentV","bcurrentUSD","bcurrentVSD","tmax","phi","BPI","sponge","coral","pen","area","area.1","salshark","j_dogfish","a_dogfish","sleeper","j_big_sk","a_big_sk","j_ber_sk","a_ber_sk","j_long_sk","a_long_sk","j_mud_sk","a_mud_sk","j_ak_sk","a_ak_sk","j_alt_sk","a_alt_sk","j_white_sk","a_white_sk","sanddab","ej_atf","j_atf","a_atf","j_kam","a_kam","j_turbot","a_turbot","halibut","ej_fhs","j_fhs","a_fhs","j_berfl","a_berfl","slender","arctics","j_petrale","a_petrale","ej_english","j_english","a_english","ej_dover","j_dover","a_dover","deepsea","ej_rex","j_rex","a_rex","ej_yfs","j_yfs","a_yfs","lhdab","j_sakahalin","a_sakahalin","ej_starry","j_starry","a_starry","j_sands","a_sands","ej_nrs","j_nrs","a_nrs","j_srs","a_srs","ej_butter","a_butter","ej_akplce","j_akplce","a_akplce","ej_sable","j_sable","a_sable","pgrndr","j_yil","a_yil","j_great","a_great","j_bigmouth","a_bigmouth","a_pacsand","ej_pcod","j_pcod","a_pcod","ej_poll","j_poll","a_poll","j_atka","a_atka","j_eula","a_eula","cap","j_ssth","a_ssth","bfth","j_lsth","a_lsth","j_rebs","a_rebs","j_rough","a_rough","j_bspot","a_bspot","ej_pop","j_pop","a_pop","j_slvrgrey","a_slvrgrey","copper","j_dark","a_dark","j_dusky","a_dusky","j_dblotch","a_dblotch","j_splitnose","a_splitnose","j_gstripe","a_gstripe","j_widow","a_widow","j_ytail","a_ytail","j_rose","a_rose","j_quill","a_quill","j_black","a_black","bgill","tiger","a_boca","j_canary","a_canary","j_north","a_north","j_rdstrp","a_rdstrp","j_yeye","a_yeye","j_rdband","a_rdband","j_strptail","a_strptail","j_hquin","a_hquin","pygmy","j_shchin","a_shchin","j_sraker","a_sraker","ymouth","tanner","snow","gking","rking","bking","octo"
-19832,"EBS","NBS",162,201902,71,2019,8,"T-19",-817372.24093075,1356021.31607444,40,8.7,0.0146201333031058,-0.934549415111542,0.0987597336992621,1.76981209278893e-06,-0.00247849998995662,0.00234697102569044,0.00841729240491986,0.00329255242832005,29.1602535247803,3.72108488082886,0,0,0,0,0.039724985,0.039724985,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,202,0,1,0,0,0,1,0,0,16,178,11,0,0,0,0,0,12,42,0,0,0,0,0,0,0,0,0,0,0,0,15,1,13,14,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-19826,"EBS","NBS",162,201902,70,2019,8,"T-20",-853972.24093075,1366621.31607444,47,3.8,0.0126766993664205,-0.9641472697258,-0.238875962793827,-1.9799358256023e-06,-0.00133571699261665,0.000649641489144415,0.00677331881597638,0.0103812512010336,24.9353992462158,3.91218843460083,0,0,0,0,0.0451059,0.0451059,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,342,0,0,0,0,0,0,0,0,7,202,29,0,0,0,0,0,16,111,0,0,0,0,0,0,0,0,0,0,0,0,54,8,190,671,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0
-19825,"EBS","NBS",162,201902,69,2019,8,"U-20",-844672.24093075,1401821.31607444,46,2.5,0.147591400891542,0.351321157068014,-0.922459200024605,-0.000230521191042499,-0.0012721709208563,0.00173118681414053,0.00655490718781948,0.00572328781709075,22.6239647865295,3.91769707202911,-0.10931639932096,0,0,0,0.04701864,0.04701864,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,294,0,0,0,0,0,0,0,0,2,61,26,0,0,0,0,0,25,219,0,0,0,0,0,0,0,0,0,0,0,0,98,37,418,265,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048,0,0,0,0
-19824,"EBS","NBS",162,201902,68,2019,8,"U-19",-810172.24093075,1394321.31607444,41,5.5,0.0143405441194773,0.70094003342092,-0.194203373044729,-7.68361967828923e-06,-0.0022400981397368,0.00259257602738217,0.0175643414258957,0.0119316375348717,26.410252571106,3.67013704776764,1,0,0,0,0.042172416,0.042172416,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,118,0,0,0,0,0,2,0,0,9,81,15,0,0,0,0,0,21,64,0,0,0,0,0,0,0,0,0,0,0,2,138,3,48,80,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
-19823,"EBS","NBS",162,201902,67,2019,8,"V-19",-806838.907597417,1430487.98274111,42,2.4,0.011053133290261,-0.729439149300257,0.613998393217723,2.27929407022505e-05,-0.00319993115651111,0.00233181620327135,0.00660303716237346,0.00474897275368373,24.3017260233561,3.68142255147298,0,0,0,0,0.048173664,0.048173664,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,98,214,0,0,0,0,0,0,0,0,8,32,15,0,0,0,0,0,4,354,0,0,0,0,0,0,0,0,0,0,0,0,110,20,350,507,228,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1539,0,0,0,0
-19822,"EBS","NBS",162,201902,66,2019,8,"V-20",-841172.24093075,1439321.31607444,47,1.6,0.0135579630732536,-0.864614844322205,0.133846193552017,1.76669593656698e-05,-0.00260311993770301,0.00131703558145091,0.00204932258930057,0.00286504509858787,20.7402496337891,3.99036037921906,0,0,0,0,0.047162052,0.047162052,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,99,0,0,0,0,0,0,0,0,17,126,20,0,0,0,0,0,4,263,0,0,0,0,0,0,1,0,0,0,0,0,60,18,679,1401,294,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,0,0,0,0
-19821,"EBS","NBS",162,201902,65,2019,8,"W-20",-831672.24093075,1474821.31607444,41,2.6,0.0162571824621409,-0.754667341709137,-0.633676260709763,-9.04589182937343e-06,-0.00208564841886982,0.00298589700832963,0.00206690907361917,0.00249923387309536,21.8478326797485,4.00364702939987,0.111615359783173,0,0,0,0.043399776,0.043399776,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,647,0,0,0,0,0,0,0,0,43,224,101,0,0,0,0,0,35,191,0,0,0,0,0,0,0,0,0,0,0,0,67,12,10,8,169,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
-19820,"EBS","NBS",162,201902,64,2019,8,"W-19",-797922.24093075,1469071.31607444,36,2.7,0.0392638109624386,-0.223939083516598,-0.850025452673435,-2.81520783573797e-05,0.00048392382404927,0.00432406680192798,0.00682042841799557,0.00581093924120069,24.5233154296875,3.64566999673843,-0.666729584336281,0,0,0,0.044670524,0.044670524,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,250,256,0,0,0,0,0,0,0,0,8,117,51,0,0,0,0,0,49,181,0,0,0,0,0,0,0,0,0,0,0,0,67,19,30,46,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
-19819,"EBS","NBS",162,201902,63,2019,8,"X-19",-793172.24093075,1505321.31607444,38,1.1,0.0151106282137334,0.851588606834412,-0.443230003118515,-8.88000158738578e-06,0.00574178760871291,0.00423380243591964,0.00495551340281963,0.00551491812802851,31.6134099960327,3.71496975421906,0,0,0,0,0.04260597,0.04260597,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,1049,3,3,0,0,0,0,0,0,94,220,129,0,0,0,0,0,123,722,0,0,0,0,0,0,0,0,0,0,0,0,82,26,0,4,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0
-19818,"EBS","NBS",162,201902,62,2019,8,"X-20",-827172.24093075,1513821.31607444,40,0.2,0.0118157425895333,-0.608180701732635,0.785295248031616,-2.65516464423854e-05,0.000717009708750993,0.00323234009556472,0.0147636849433184,0.00481255492195487,24.0446891784668,3.99390029907227,0,0,0,0,0.04201589,0.04201589,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,262,0,6,0,0,0,0,0,0,66,181,62,0,0,0,0,0,43,341,0,0,0,0,0,0,1,0,0,0,0,0,80,15,3,12,1239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502,0,0,0,0
-19809,"EBS","NBS",162,201902,61,2019,8,"X-21",-863572.24093075,1523221.31607444,45,0.5,0.0574592635035515,-0.81926201581955,0.224976944923401,-0.00010122621388291,-0.0007258674595505,0.00256949327886105,0.00457413597032428,0.00639965916052461,20.3347320556641,4.32927589416504,0.162770450115204,0.364,0,0,0.047681077,0.047681077,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,116,0,6,3,0,0,1,0,0,23,56,32,0,0,0,0,0,14,189,0,0,0,0,0,0,0,0,0,0,0,0,23,11,28,78,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
-19808,"EBS","NBS",162,201902,60,2019,8,"Y-20",-827838.907597417,1545487.98274111,40,-0.2,0.0129687160175915,-0.126164590318998,0.338570713996887,1.44746980671092e-05,0.00103965300756196,0.00142673639735828,0.00515744121124347,0.00537336415921648,22.2281557718913,4.05791918436686,0,0.389,0,0,0.0423243,0.0423243,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,98,6,0,0,0,0,0,0,0,16,68,13,0,0,0,0,0,16,107,0,0,0,0,0,0,0,0,0,0,0,0,56,9,0,13,2910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
-19807,"EBS","NBS",162,201902,59,2019,8,"Y-21",-855772.24093075,1559421.31607444,48,-0.5,0.0412635445594788,-0.312003284692764,0.423909631371498,2.76488135568798e-06,-0.0026324353646487,0.00121039191726595,0.00553196128457785,0.00524120200425386,18.3124965667725,4.23703718185425,0.810503432899713,4.392,0,0,0.0470306,0.0470306,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,180,0,11,0,0,0,0,0,0,8,15,9,0,0,0,0,0,2,205,0,0,0,0,0,0,2,0,0,0,0,0,25,5,8,24,1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-19806,"EBS","NBS",162,201902,58,2019,8,"ZZ-21",-848172.24093075,1588321.31607444,31,1.3,0.192614510655403,-0.903298407793045,-0.140734666958451,0.000651138689136133,0.00267245690338314,0.00190124532673508,0.00267109053675085,0.00266378012020141,16.4095630645752,4.16805934906006,1.56614047288895,6.556,0,0,0.0237614,0.0237614,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-19805,"EBS","NBS",162,201902,57,2019,8,"Y-22",-889922.24093075,1565071.31607444,53,-0.6,0.0206586557906121,-0.143043097108603,0.769101157784462,-4.85313757963013e-05,-0.00309380725957453,0.000939333971473388,0.00542174861766398,0.00912345387041569,22.8064737319946,4.55415380001068,0,0,0,0,0.0469338,0.0469338,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,80,0,119,64,0,0,0,0,0,12,44,35,0,0,0,0,0,3,181,0,0,0,0,0,0,1,0,0,0,0,0,30,5,94,24,889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0
